disaster_id,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd
1993-295,1993,,Kimatu,Natural,Hydrological,Mass movement wet,Landslide,,,,Philippines,PHL,1993-9-7,1993-9-7 ,21,0,0,0,0,0
1993-228,1993,Nell (Puring),"Capiz, iloilo, Negros Oriental, Bohol, Cebu, Agusan del Norte, Cagayan de Oro, Caniguin, Southern Leyte, Surigao del Norte, Davao del Norte, Misamis Oriental",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1993-12-26,1993-12-26 ,52,7,366217,0,366224,34187569.22
1993-221,1993,,Abuyog town (Leyte province),Natural,Hydrological,Flood,General flood,,,,Philippines,PHL,1993-11-29,1993-12-1 ,25,4,0,0,4,0
1993-113,1993,,"Agusan, Surigao, Davao del Norte provinces (Mindanao Island)",Natural,Hydrological,Flood,General flood,,,,Philippines,PHL,1993-2-1,1993-2-5 ,23,0,90000,0,90000,74408238.9
1993-88,1993,Kyle,,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1993-11-20,1993-11-23 ,1,0,0,0,0,4022066.97
1993-87,1993,Lola (Monang) and Manny (Naning),"Catanduanes, Camarines Sur, Camarines Norte, Albay, Marinduque, Mindoro Oriental, Quezon, Laguna, Batangas, Rizal provinces (Bicol peninsula, Luzon) Visayas, Masbate, Sorgoson, Occidental Mindoro, Romblon",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1993-12-6,1993-12-6 ,311,524,994478,164800,1159802,100551674.19
1993-77,1993,Flo (Kadiang),"Pampanga, Nueva Viscaya, Tarlac, Cagayan, Cavite, Bataan, Bulacan, Pangasinan, Nueva Ecija, Metro Manilla provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1993-10-4,1993-10-4 ,124,35,1941531,0,1941566,378074294.94
1993-55,1993,Koryn (Goring),"Cordillera autonomous region (including Bagio city), Regions I-IV (including Metro Manilla)",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1993-6-26,1993-6-26 ,2,0,29413,14322,43735,888876.8
1993-54,1993,,"Metro Manilla, Region I, Region III",Natural,Hydrological,Flood,,,,,Philippines,PHL,1993-8-26,1993-8-26 ,5,0,258080,0,258080,5228687.06
1993-8,1993,Mayon,"Ligao, Camalig, Guinobatan, Daraga, Legaspi (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1993-2-6,1993-3-19 ,79,9,108000,57000,165009,981384.34
1994-782,1994,,Extesive agricultural and infrastructure damage,Natural,Hydrological,Flood,General flood,,,,Philippines,PHL,1994-3-18,1994-3-31 ,9,0,16821,0,16821,1522741.24
1994-778,1994,,"Panay, Negros Isl.",Natural,Hydrological,Flood,General flood,,,,Philippines,PHL,1994-7-22,1994-8-2 ,2,0,18000,0,18000,2849574.25
1994-768,1994,,Oro area (Mindanao),Natural,Geophysical,Earthquake (seismic activity),Earthquake (ground shaking),,,,Philippines,PHL,1994-5-13,1994-5-13 ,0,3,215,0,218,0
1994-756,1994,Vanessa,Kalinga-Apayao province,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1994-7-7,1994-7-7 ,3,0,5300,0,5300,0
